>Refrigerated
yoghurt,325
milk,125
fish,350
>Refrigerated
tomatoes,400
pasta,250
nuts,100
mushrooms,50
>Ordinary
beans,525
nuts,150
chips,200
bread,125
>Refrigerated
frozen meat,550
ice cream,250
>Refrigerated
asparagus,275
grapes,50
celery,350
chicken,125
>Refrigerated
beef,50
cheese,450
chicken,300
>Refrigerated
milk,300
beef,500
>Ordinary
biscuits,575
chocolate,350
bread,75
>Ordinary
chocolate,25
rice,300
>Refrigerated
frozen meat,25
ice,325
frozen vegetable mix,325
fish,125
>Refrigerated
grapes,175
lettuce,350
mushrooms,275
